route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,weelchair
100100310:310,442,310,Noisy Champs RER - Les Yvris Noisy-le-Grand RER,,3,,cec92a,000000,oui
100100312:312,442,312,Chelles-Gournay - Noisy-Champs Descartes,,3,,f68f4b,000000,non
100100317:317,442,317,Hôtel de Ville de Créteil - Le Parc de St-Maur - Nogent-Le Perreux,,3,,cec92a,000000,non
100100318:318,442,318,Château de Vincennes - Bobigny-Pantin Raymond Queneau,,3,,006cb8,ffffff,oui
100100319:319,442,319,Massy-Palaiseau - Massy Opéra-Théâtre - Rungis Marché International,,3,,008b5a,ffffff,non
100100320:320,442,320,Noisy-le-Grand Mont d'Est - Noisy-le-Grand Mont d'Est (circulaire),,3,,ffcd02,000000,oui
100100321:321,442,321,Lognes - Aérodrome de Lognes - Croissy-Beaubourg Z.I. Pariest,,3,,ffcd02,000000,non
100100322:322,442,322,Bobigny Pablo Picasso - Mairie de Montreuil,,3,,87d3df,000000,oui
100100323:323,442,323,Issy-Val de Seine - Ivry-sur-Seine,,3,,cec92b,000000,oui
100100325:325,442,325,Bibliothèque François Mitterrand - Château de Vincennes,,3,,87d3df,000000,non
100100330:330,442,330,Fort d'Aubervilliers - Pantin Raymond Queneau Anatole France,,3,,ffcd02,000000,oui
100100333:333,442,333,Garges-Sarcelles - Garges L'Argentière,,3,,006CB8,ffffff,non
100100334:334,442,334,Les Pavillons-sous-Bois Rd Pt Robert Schuman - Pont de Bondy (circulaire),,3,,ffcd02,000000,non
100100337:337,442,337,Deuil-la-Barre Zone artisanale du Moutier - Pierrefitte Stains RER,,3,,652c90,ffffff,non
100100340:340,442,340,Gennevilliers Les Louvresses - Gabriel Péri - Clichy Hôpital Beaujon - Clichy Berges de Seine,,3,,e0b03b,000000,oui
100100341:341,442,341,Mairie de Clichy Landy-Martre - Porte de Clignancourt,,3,,ffcd02,000000,oui
